userId,productId,rating,timestamp
1,7,3,964982931
2,30,3,964982176
3,51,5,964984002
4,28,2,964982681
5,44,5,964984041
6,4,2,964982400
7,10,4,964982346
8,12,1,964981710
9,8,1,964982310
10,56,1,964981909
11,53,1,964981680
12,17,2,964981208
13,16,4,964980868
14,8,1,964982271
15,23,5,964980985
16,4,4,964982876
17,16,2,964982400
18,59,3,964981680
19,9,1,964981179
20,39,1,964984002
21,40,4,964980985
22,30,2,964982653
23,59,3,964981208
24,57,2,964983650
25,17,1,964982931
26,23,2,964983793
27,48,2,964982653
28,2,5,964981909
29,27,2,964981179
30,33,1,964982838
31,37,5,964981775
32,48,5,964983650
33,17,5,964983793
34,12,2,964982363
35,20,2,964982588
36,59,1,964982588
37,25,3,964984041
38,10,3,964980868
39,53,5,964980962
40,51,3,964982400
41,18,4,964980868
42,36,2,964982546
43,49,3,964982176
44,8,2,964984153
45,27,5,964982876
46,40,4,964982563
47,7,3,964982838
48,55,3,964981529
49,51,2,964982791
50,4,2,964981179
51,55,2,964980985
52,45,4,964980868
53,46,3,964982653
54,13,1,964981179
55,31,1,964982681
56,8,1,964982346
57,1,1,964984100
58,37,5,964982224
59,35,5,964981179
60,6,2,964981179
61,60,4,964984100
62,37,5,964982310
63,15,5,964981179
64,30,2,964981179
65,2,3,964982563
66,49,5,964981208
67,2,3,964980924
68,26,2,964981208
69,16,4,964982876
70,26,1,964982838
71,43,2,964981208
72,19,5,964982791
73,12,3,964982703
74,50,1,964981247
75,57,4,964982563
76,13,4,964983614
77,29,5,964984086
78,46,5,964980924
79,49,3,964981208
80,45,3,964982931
81,30,5,964982363
82,14,2,964984100
83,37,1,964982400
84,7,1,964984041
85,45,2,964981179
86,30,1,964982653
87,7,4,964982838
88,40,2,964981179
89,14,5,964980924
90,48,4,964982653
91,55,2,964981529
92,35,1,964982703
93,33,4,964981208
94,9,3,964982363
95,47,2,964981710
96,38,1,964982653
97,17,4,964981529
98,16,2,964980868
99,8,3,964980924
100,48,1,964982546
101,25,4,964982400
102,37,4,964982855
103,48,1,964982903
104,54,3,964983614
105,60,3,964981208
106,7,5,964980924
107,46,4,964983815
108,26,5,964982791
109,6,3,964982931
110,12,4,964982176
111,25,1,964982791
112,19,5,964983614
113,17,4,964982931
114,34,5,964981208
115,33,3,964982588
116,9,1,964981208
117,10,1,964983614
118,29,2,964982310
119,9,5,964982967
120,58,5,964982838
121,31,4,964980985
122,30,1,964982546
123,35,3,964982400
124,53,2,964982967
125,7,2,964981710
126,54,1,964982967
127,3,5,964982653
128,56,3,964982931
129,45,1,964982224
130,29,5,964980985
131,27,3,964982271
132,4,4,964981775
133,17,1,964982681
134,29,3,964982876
135,14,3,964982475
136,21,4,964982931
137,4,3,964982653
138,18,4,964980868
139,60,2,964981680
140,4,3,964982681
141,39,5,964983815
142,59,5,964983815
143,54,4,964982346
144,4,1,964982703
145,22,4,964982176
146,19,2,964982791
147,44,5,964980985
148,34,1,964981247
149,48,1,964982176
150,23,3,964982791
151,42,1,964983650
152,4,1,964984153
153,20,2,964982363
154,36,5,964981529
155,43,2,964982176
156,19,5,964982681
157,19,5,964981909
158,26,1,964982588
159,28,4,964982176
160,38,5,964981909
161,26,2,964981909
162,38,4,964982176
163,23,5,964982791
164,50,4,964984002
165,24,4,964983793
166,35,1,964981909
167,36,1,964982903
168,18,2,964980868
169,56,5,964982703
170,23,4,964984041
171,30,3,964981179
172,20,2,964984086
173,16,3,964982563
174,14,5,964982176
175,11,5,964984002
176,33,2,964981775
177,48,3,964982855
178,48,4,964981208
179,16,2,964982310
180,20,5,964981710
181,44,1,964984153
182,60,3,964982224
183,9,4,964982271
184,17,4,964982653
185,40,4,964982400
186,39,4,964981179
187,10,1,964983793
188,26,5,964984153
189,55,5,964980985
190,33,4,964982967
191,6,5,964982176
192,3,5,964981909
193,46,5,964981680
194,8,5,964981529
195,42,5,964982563
196,50,4,964981909
197,40,5,964981179
198,47,3,964982363
199,15,2,964982176
200,23,5,964981680
201,19,5,964982400
202,47,3,964983650
203,55,2,964982176
204,22,1,964982791
